customer_id,name,archetype,signup_date,address_id,true_return_abuser
CUST0046,Aryan Gupta,occasional_issue,2025-08-13,addr_036,0
CUST0047,Yash Iyer,occasional_issue,2025-11-05,addr_012,0
CUST0048,Priya Verma,normal,2025-12-02,addr_027,0
CUST0049,Nikhil Singh,occasional_issue,2026-05-05,addr_006,0
CUST0050,Vivaan Patel,occasional_issue,2026-04-07,addr_015,0
CUST0051,Rohan Iyer,normal,2026-03-22,addr_027,0
CUST0052,Diya Reddy,normal,2026-04-24,addr_028,0
CUST0053,Aryan Verma,normal,2025-08-29,addr_000,0
CUST0054,Aditya Chatterjee,occasional_issue,2026-01-31,addr_010,0
CUST0055,Nikhil Singh,normal,2025-11-08,addr_003,0
CUST0056,Diya Patel,normal,2025-11-14,addr_016,0
CUST0057,Riya Reddy,normal,2025-05-23,addr_035,0
CUST0058,Yash Gupta,normal,2026-02-10,addr_003,0
CUST0059,Zoya Joshi,normal,2025-05-15,addr_020,0
CUST0060,Vivaan Sharma,normal,2025-09-17,addr_033,0
CUST0061,Diya Sharma,abuser,2026-04-21,addr_005,1
CUST0062,Aditya Rao,normal,2026-02-01,addr_025,0
CUST0063,Priya Chatterjee,normal,2025-08-09,addr_038,0
CUST0064,Vivaan Rao,normal,2025-06-30,addr_037,0
CUST0065,Zoya Nair,normal,2026-01-19,addr_013,0
CUST0066,Meera Iyer,normal,2026-03-26,addr_019,0
CUST0067,Riya Khan,abuser,2026-04-25,addr_017,1
CUST0068,Riya Rao,abuser,2026-04-11,addr_020,1
CUST0069,Aryan Iyer,normal,2026-03-26,addr_022,0
CUST0070,Aditya Chatterjee,normal,2026-01-07,addr_010,0
CUST0071,Riya Das,normal,2025-12-29,addr_039,0
CUST0072,Tanvi Sharma,normal,2025-08-22,addr_019,0
CUST0073,Priya Chatterjee,normal,2026-04-03,addr_006,0
CUST0074,Aryan Gupta,normal,2025-07-27,addr_013,0
CUST0075,Meera Iyer,normal,2026-01-17,addr_032,0
CUST0076,Yash Reddy,abuser,2026-05-06,addr_005,1
CUST0077,Nikhil Das,normal,2026-05-31,addr_021,0
CUST0078,Ananya Mishra,abuser,2026-03-11,addr_028,1
CUST0079,Aryan Joshi,normal,2026-05-28,addr_007,0
CUST0080,Aditya Chatterjee,normal,2026-03-17,addr_034,0
CUST0081,Vivaan Das,normal,2025-08-23,addr_009,0
CUST0082,Nikhil Gupta,normal,2025-11-27,addr_002,0
CUST0083,Arjun Iyer,normal,2025-06-25,addr_006,0
CUST0084,Arjun Kapoor,normal,2025-11-05,addr_039,0
CUST0085,Ananya Chatterjee,abuser,2026-03-10,addr_038,1
CUST0086,Nikhil Sharma,normal,2025-12-13,addr_026,0
CUST0087,Kabir Reddy,normal,2025-06-07,addr_006,0
CUST0088,Kavya Das,normal,2025-10-04,addr_014,0
CUST0089,Rohan Das,abuser,2025-12-04,addr_037,1
CUST0090,Kabir Iyer,normal,2026-02-23,addr_025,0
CUST0091,Meera Reddy,occasional_issue,2025-05-02,addr_017,0
CUST0092,Arjun Mishra,normal,2025-06-19,addr_034,0
CUST0093,Meera Sharma,normal,2026-01-19,addr_011,0
CUST0094,Zoya Reddy,normal,2025-07-31,addr_027,0
CUST0095,Arjun Joshi,occasional_issue,2025-10-21,addr_038,0
CUST0096,Tanvi Verma,normal,2025-08-10,addr_012,0
CUST0097,Ishaan Sharma,occasional_issue,2026-06-01,addr_033,0
CUST0098,Aryan Mishra,occasional_issue,2025-05-18,addr_012,0
CUST0099,Arjun Patel,normal,2025-06-26,addr_021,0
CUST0100,Dev Khan,normal,2026-03-30,addr_019,0
CUST0101,Tanvi Reddy,normal,2025-12-16,addr_025,0
CUST0102,Sara Nair,normal,2025-10-29,addr_024,0
CUST0103,Diya Rao,normal,2025-11-06,addr_035,0
CUST0104,Aarav Reddy,normal,2025-10-24,addr_037,0
CUST0105,Dev Mishra,normal,2025-10-18,addr_028,0
CUST0106,Rohan Nair,normal,2025-05-21,addr_010,0
CUST0107,Aditya Reddy,normal,2025-07-12,addr_039,0
CUST0108,Meera Verma,occasional_issue,2025-05-13,addr_015,0
CUST0109,Sara Iyer,occasional_issue,2026-03-18,addr_001,0
CUST0110,Vivaan Iyer,abuser,2025-07-24,addr_015,1
CUST0111,Riya Patel,occasional_issue,2025-08-11,addr_012,0
CUST0112,Kavya Singh,normal,2026-03-18,addr_000,0
CUST0113,Priya Kapoor,normal,2026-03-03,addr_033,0
CUST0114,Riya Sharma,normal,2026-03-31,addr_029,0
CUST0115,Ananya Kapoor,normal,2025-09-03,addr_035,0
CUST0116,Dev Khan,abuser,2025-10-18,addr_038,1
CUST0117,Tanvi Patel,occasional_issue,2025-08-25,addr_028,0
CUST0118,Diya Joshi,occasional_issue,2025-10-14,addr_016,0
CUST0119,Kabir Das,normal,2025-05-05,addr_033,0
CUST0120,Yash Mishra,normal,2025-10-19,addr_004,0
CUST0121,Sara Iyer,normal,2025-12-20,addr_034,0
CUST0122,Aditya Gupta,normal,2025-11-17,addr_009,0
CUST0123,Rohan Verma,normal,2025-12-14,addr_034,0
CUST0124,Riya Patel,normal,2025-10-29,addr_024,0
CUST0125,Zoya Joshi,normal,2025-05-06,addr_036,0
CUST0126,Kavya Singh,normal,2025-12-03,addr_019,0
CUST0127,Kavya Das,occasional_issue,2025-10-30,addr_034,0
CUST0128,Aryan Kapoor,normal,2026-02-09,addr_031,0
CUST0129,Kabir Reddy,normal,2026-05-18,addr_024,0
CUST0130,Meera Mishra,normal,2025-11-06,addr_010,0
CUST0131,Riya Chatterjee,normal,2025-07-18,addr_034,0
CUST0132,Aarav Chatterjee,normal,2025-08-17,addr_001,0
CUST0133,Aditya Mishra,normal,2025-10-08,addr_011,0
CUST0134,Vivaan Reddy,normal,2026-02-13,addr_029,0
CUST0135,Meera Khan,occasional_issue,2025-11-19,addr_017,0
CUST0136,Nikhil Reddy,occasional_issue,2025-10-04,addr_001,0
CUST0137,Aryan Sharma,abuser,2025-12-04,addr_020,1
CUST0138,Aditya Kapoor,abuser,2026-05-12,addr_015,1
CUST0139,Kabir Iyer,occasional_issue,2025-07-18,addr_009,0
CUST0140,Kabir Gupta,normal,2026-04-04,addr_036,0
CUST0141,Rohan Singh,normal,2025-05-05,addr_023,0
CUST0142,Diya Rao,normal,2025-05-15,addr_007,0
CUST0143,Diya Reddy,normal,2026-05-19,addr_019,0
CUST0144,Zoya Mishra,abuser,2025-11-21,addr_005,1
CUST0145,Rohan Verma,normal,2025-07-15,addr_015,0
CUST0146,Priya Joshi,occasional_issue,2025-06-16,addr_038,0
CUST0147,Priya Kapoor,abuser,2025-04-27,addr_017,0
CUST0148,Arjun Nair,normal,2025-11-24,addr_004,0
CUST0149,Tanvi Mishra,normal,2025-10-29,addr_031,0
